"No.","Time","Source","Destination","Protocol","Length","Info"
"2505","61.119380","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2507","61.141197","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2509","61.152110","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2511","61.161983","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2512","61.175436","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2514","61.186463","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2516","61.199067","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2518","61.209898","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2520","61.234991","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2522","61.249648","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2524","61.258445","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2526","61.269995","192.168.2.107","5.42.169.125","UDP","117","51791  >  26508 Len=75"
"2528","61.283347","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2529","61.295062","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2531","61.307033","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2533","61.318458","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2535","61.329594","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2536","61.342668","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2540","61.377074","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2552","61.545865","192.168.2.107","5.42.169.125","UDP","101","51791  >  26508 Len=59"
"2556","61.594526","192.168.2.107","5.42.169.125","UDP","100","51791  >  26508 Len=58"
"2558","61.606179","192.168.2.107","5.42.169.125","UDP","133","51791  >  26508 Len=91"
"2559","61.622404","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2562","61.636163","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2563","61.647391","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2566","61.674175","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2568","61.694775","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2572","61.735358","192.168.2.107","5.42.169.125","UDP","100","51791  >  26508 Len=58"
"2576","61.760275","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2578","61.767242","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2580","61.780072","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2582","61.790196","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2585","61.830549","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2587","61.842807","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2589","61.857517","192.168.2.107","5.42.169.125","UDP","100","51791  >  26508 Len=58"
"2591","61.867139","192.168.2.107","5.42.169.125","UDP","117","51791  >  26508 Len=75"
"2593","61.879603","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2594","61.892709","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2596","61.899712","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2598","61.912285","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2599","61.924594","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2601","61.935945","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2603","61.949374","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2605","61.968380","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2607","61.976321","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2608","61.985626","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2611","61.996873","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2613","62.011213","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2615","62.022539","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2618","62.033006","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2619","62.044032","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2621","62.056293","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2623","62.071140","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2625","62.081678","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2626","62.093032","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2628","62.104403","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2630","62.115564","192.168.2.107","5.42.169.125","UDP","117","51791  >  26508 Len=75"
"2632","62.130185","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2634","62.142589","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2636","62.166230","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2638","62.176580","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2642","62.225584","192.168.2.107","5.42.169.125","UDP","100","51791  >  26508 Len=58"
"2644","62.236386","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2646","62.258628","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2648","62.276074","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2650","62.286965","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2653","62.307926","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2654","62.319370","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2656","62.335015","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2658","62.345944","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2660","62.363100","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2663","62.387232","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2664","62.397861","192.168.2.107","5.42.169.125","UDP","130","51791  >  26508 Len=88"
"2666","62.409237","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2668","62.421336","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2670","62.432331","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2672","62.445266","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2673","62.458255","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2675","62.470201","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2678","62.482898","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2680","62.491258","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2681","62.503013","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2686","62.515169","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2688","62.526837","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2690","62.538398","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2694","62.550382","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2696","62.565907","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2698","62.574604","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2700","62.586003","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2702","62.608914","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2704","62.620876","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2708","62.632441","192.168.2.107","5.42.169.125","UDP","130","51791  >  26508 Len=88"
"2711","62.656443","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2719","62.668013","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2730","62.679784","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2732","62.691452","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2746","62.704878","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2750","62.716031","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2753","62.730538","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2755","62.746321","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2757","62.759712","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2759","62.781160","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2761","62.796686","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2763","62.806331","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2765","62.822423","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2767","62.834492","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2769","62.849655","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2770","62.858478","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2772","62.868669","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2774","62.880066","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2776","62.892833","192.168.2.107","5.42.169.125","UDP","130","51791  >  26508 Len=88"
"2777","62.905232","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
"2779","62.917113","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2781","62.928285","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2783","62.940372","192.168.2.107","5.42.169.125","UDP","99","51791  >  26508 Len=57"
"2785","62.952055","192.168.2.107","5.42.169.125","UDP","86","51791  >  26508 Len=44"
