"No.","Time","Source","Destination","Protocol","Length","Info"
"851","113.727583","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"854","113.741890","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"857","113.757158","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"860","113.773915","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"863","113.788686","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"865","113.804586","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"868","113.818994","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"871","113.835947","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"874","113.850585","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"876","113.864592","5.42.173.252","192.168.2.107","UDP","139","26515  >  61165 Len=97"
"879","113.881106","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"881","113.895589","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"884","113.910140","5.42.173.252","192.168.2.107","UDP","110","26515  >  61165 Len=68"
"886","113.925458","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"890","113.940437","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"893","113.955747","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"897","113.970586","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"899","113.986032","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"902","114.002055","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"905","114.017214","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"908","114.032589","5.42.173.252","192.168.2.107","UDP","110","26515  >  61165 Len=68"
"909","114.047593","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"912","114.062592","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"915","114.077589","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"918","114.093590","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"921","114.107593","5.42.173.252","192.168.2.107","UDP","165","26515  >  61165 Len=123"
"923","114.123029","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"926","114.138593","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"929","114.154592","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"933","114.168590","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"935","114.184596","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"938","114.199595","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"940","114.215595","5.42.173.252","192.168.2.107","UDP","110","26515  >  61165 Len=68"
"943","114.230595","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"945","114.245600","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"948","114.259602","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"951","114.275755","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"954","114.290594","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"956","114.306597","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"959","114.321100","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"962","114.336144","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
"965","114.351398","5.42.173.252","192.168.2.107","UDP","84","26515  >  61165 Len=42"
